ID	name	type	URL	P4087	description
32563	The Legend of Zelda: A Link to the Past	Q21198342	https://anilist.co/manga/32563	2563	ゼルダの伝説　神々のトライフォース. 2005 manga by Akira Himekawa
32564	Zelda no Densetsu: Yume wo Miru Shima	Q21198342	https://anilist.co/manga/32564	2564	ゼルダの伝説 夢をみる島. 1994 manga by Ataru Kajiba
32566	Persona 3	Q21198342	https://anilist.co/manga/32566	2566	ペルソナ3. 2007 manga. Story & Art: Shuji Sogabe, Original Creator: ATLUS
32568	Sakura no Uta: The tear flows because of tenderness.	Q21198342	https://anilist.co/manga/32568	2568	サクラノ詩 -The tear flows because of tenderness.-. 2005 manga. Story & Art: Hakone Odawara, Original Story: SCA-DI, Character Design: Inugami Kira and Kagome
32569	I'm Gonna be an Angel!	Q21198342	https://anilist.co/manga/32569	2569	天使になるもんっ!. 1999 manga. Story: Hiroshi Nishikiori, Art: Tetsuya Ono
32570	The Hating Girl	Q21198342	https://anilist.co/manga/32570	2570	すべてに射矢ガール. 2000 manga by Koji Rokunishi
32571	The Last Uniform	Q21198342	https://anilist.co/manga/32571	2571	最後の制服. 2004 manga by Mera Hakamada
32572	Toshiue no Hito	Q21198342	https://anilist.co/manga/32572	2572	年上ノ彼女. 2004 manga by Ryuta Amazume
32573	Mahou Shoujo Neko X	Q21198342	https://anilist.co/manga/32573	2573	魔法少女猫X. 2004 manga by Mimana Orimoto
32574	Galism: Renai Joutou 3 Shimai	Q21198342	https://anilist.co/manga/32574	2574	ギャリズム~恋爱上等3姊妹~. 2005 manga by Mayumi Yokoyama
32575	Kamichama Karin Chu	Q21198342	https://anilist.co/manga/32575	2575	かみちゃまかりんchu. 2006 manga by Koge-Donbo*
32576	Takeru - Opera Susanoh Sword of the Devil	Q21198342	https://anilist.co/manga/32576	2576	takeru –SUSANOH～魔性の剣より–. 2005 manga. Story: Kazuki Nakashima, Art: Kemuri Karakara
32577	One day	Q21198342	https://anilist.co/manga/32577	2577	ある日、ナイトに会ったなら. 1989 manga by Chiho Saitou
32579	Mou Hitori no Marionette	Q21198342	https://anilist.co/manga/32579	2579	もう一人のマリオネット. 1990 manga by Chiho Saitou
32580	Chocolate Christmas	Q21198342	https://anilist.co/manga/32580	2580	チョコレート・クリスマス. 1987 manga by Naoko Takeuchi
32581	Maria	Q21198342	https://anilist.co/manga/32581	2581	ま・り・あ. 1989 manga by Naoko Takeuchi
32582	Zenmaijikake no Tina	Q21198342	https://anilist.co/manga/32582	2582	ぜんまいじかけのティナ. 1999 manga. Art: Yui Ayumi, Story: Mika Akitaka
32583	Holy Mary!	Q21198342	https://anilist.co/manga/32583	2583	マリアっぽいの！. 2000 manga by Natsumi Andou
32584	Mamacolle	Q21198342	https://anilist.co/manga/32584	2584	ママコレ. 2005 manga by Ema Tooyama
32585	Eiken	Q21198342	https://anilist.co/manga/32585	2585	エイケン. 2001 manga by Seiji Matsuyama
32586	Legend of Rainbow	Q21198342	https://anilist.co/manga/32586	2586	虹の伝説. 1985 manga by Chieko Hara
32587	Downtown Shuffle	Q21198342	https://anilist.co/manga/32587	2587	manga by Miki Sakamoto
32588	Elle to Takara	Q21198342	https://anilist.co/manga/32588	2588	エレとタカラ. 1999 manga by Touko Mizuno
32589	Elle to Takara - The Market of Darkness	Q21198342	https://anilist.co/manga/32589	2589	manga by Touko Mizuno
32590	Elle to Takara dj - Ellemin	Q21198342	https://anilist.co/manga/32590	2590	manga by Touko Mizuno
32592	Elle to Takara dj - Milk Crown	Q21198342	https://anilist.co/manga/32592	2592	manga by Touko Mizuno
32593	Minami no Kuni no Oujisama	Q21198342	https://anilist.co/manga/32593	2593	南の国の王子様. 2003 manga by Touko Mizuno
32594	BoysLike!	Q21202185	https://anilist.co/manga/32594	2594	2011 one-shot manga by Satomi Yamagata
32597	Three Quarters	Q21198342	https://anilist.co/manga/32597	2597	スリークオーター 3/4. 2001 manga by Satomi Yamagata
32598	Clannad	Q21198342	https://anilist.co/manga/32598	2598	CLANNAD -クラナド- オフィシャルコミック. 2005 manga. Original Story: Jun Maeda, Original Creator: Key, Story & Art: Juri Misaki
32599	Koi Tomo	Q21198342	https://anilist.co/manga/32599	2599	恋友. 2005 manga by Takashi Kanzaki
32600	Instinctively Male	Q21198342	https://anilist.co/manga/32600	2600	本能的に、男. manga by Takashi Kanzaki
32601	Pure Love Term of Growth	Q21198342	https://anilist.co/manga/32601	2601	純愛成長期. manga by Takashi Kanzaki
32602	Oresamateki	Q21198342	https://anilist.co/manga/32602	2602	俺様的。. 2003 manga by Takashi Kanzaki
32603	Retsujou Kyoumushitsu	Q21198342	https://anilist.co/manga/32603	2603	manga by Takashi Kanzaki
32604	Hishoshitsu no Himitsu	Q21198342	https://anilist.co/manga/32604	2604	秘書室の秘密. 2003 manga by Takashi Kanzaki
32605	Double Trouble	Q21198342	https://anilist.co/manga/32605	2605	トラブ ルダブルフェイス. 2002 manga by Takashi Kanzaki
32607	Main Dish	Q21198342	https://anilist.co/manga/32607	2607	メインディッシュ. 2003 manga by Tsubaki Enomoto
32608	First Love	Q21202185	https://anilist.co/manga/32608	2608	2007 one-shot manga by Tsubaki Enomoto
32609	Yuuwaku Lips	Q21202185	https://anilist.co/manga/32609	2609	誘惑Lips. 2009 one-shot manga by Tsubaki Enomoto
32610	Boyfriend	Q21198342	https://anilist.co/manga/32610	2610	2002 manga by You Higuri
32611	Tenshi ni Bara no Hanataba wo	Q21198342	https://anilist.co/manga/32611	2611	天使に薔薇の花束を. 2000 manga by You Higuri
